,PEOPLE_POSITIVE_CASES_COUNT,COUNTY_NAME,PROVINCE_STATE_NAME,REPORT_DATE,REPORT_DATE1,CONTINENT_NAME,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,COUNTY_FIPS_NUMBER,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,COUNTRY_ALPHA_2_CODE,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
36258,0,,,2020-02-06,2020-02-06,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36259,0,,,2020-02-07,2020-02-07,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36260,0,,,2020-02-08,2020-02-08,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36261,0,,,2020-02-09,2020-02-09,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36262,0,,,2020-02-10,2020-02-10,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36263,0,,,2020-02-11,2020-02-11,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36264,0,,,2020-02-12,2020-02-12,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36265,0,,,2020-02-13,2020-02-13,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36266,0,,,2020-02-14,2020-02-14,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36267,0,,,2020-02-15,2020-02-15,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36268,0,,,2020-02-16,2020-02-16,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36269,0,,,2020-02-17,2020-02-17,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36270,0,,,2020-02-18,2020-02-18,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36271,0,,,2020-02-19,2020-02-19,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36272,0,,,2020-02-20,2020-02-20,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36273,0,,,2020-02-21,2020-02-21,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36274,0,,,2020-02-22,2020-02-22,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36275,0,,,2020-02-23,2020-02-23,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36276,0,,,2020-02-24,2020-02-24,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36277,0,,,2020-02-25,2020-02-25,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36278,0,,,2020-02-26,2020-02-26,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36279,0,,,2020-02-27,2020-02-27,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36280,0,,,2020-02-28,2020-02-28,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36281,0,,,2020-02-29,2020-02-29,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36282,0,,,2020-03-01,2020-03-01,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36283,0,,,2020-03-02,2020-03-02,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36284,0,,,2020-03-03,2020-03-03,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36285,2,,,2020-03-04,2020-03-04,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,2,0
36286,2,,,2020-03-05,2020-03-05,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36287,2,,,2020-03-06,2020-03-06,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
